id,CHN202204070
version,2
info,visteam,MIL
info,hometeam,CHN
info,site,CHI11
info,date,2022/04/07
info,number,0
info,starttime,1:20PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,barrt901
info,ump1b,barkl901
info,ump2b,lentn901
info,ump3b,cejan901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:00
info,howscored,unknown
info,pitches,pitches
info,oscorer,speaa701
info,temp,44
info,winddir,tocf
info,windspeed,14
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,198
info,attendance,35112
info,wp,givem001
info,lp,ashba003
info,save,robed002
start,wongk001,"Kolten Wong",0,1,4
start,adamw002,"Willy Adames",0,2,6
start,yelic001,"Christian Yelich",0,3,7
start,mccua001,"Andrew McCutchen",0,4,10
start,tellr001,"Rowdy Tellez",0,5,3
start,renfh001,"Hunter Renfroe",0,6,9
start,narvo001,"Omar Narvaez",0,7,2
start,cainl001,"Lorenzo Cain",0,8,8
start,petej002,"Jace Peterson",0,9,5
start,burnc002,"Corbin Burnes",0,0,1
start,orter001,"Rafael Ortega",1,1,10
start,madrn001,"Nick Madrigal",1,2,4
start,contw001,"Willson Contreras",1,3,2
start,happi001,"Ian Happ",1,4,7
start,schwf001,"Frank Schwindel",1,5,3
start,suzus001,"Seiya Suzuki",1,6,9
start,heywj001,"Jason Heyward",1,7,8
start,wisdp001,"Patrick Wisdom",1,8,5
start,hoern001,"Nico Hoerner",1,9,6
start,hendk001,"Kyle Hendricks",1,0,1
play,1,0,wongk001,00,X,5/P6
play,1,0,adamw002,22,CSBBS,K
play,1,0,yelic001,10,BX,3/G3
play,1,1,orter001,31,BBBCB,W
play,1,1,madrn001,11,BSX,8/F89XD
play,1,1,contw001,21,B1BCX,8/F8XD
play,1,1,happi001,00,>C,CS2(26)
play,2,0,mccua001,10,BX,D9/F9LD
play,2,0,tellr001,12,CSBS,K
play,2,0,renfh001,02,CSS,K
play,2,0,narvo001,30,BBBB,W
play,2,0,cainl001,32,CBF*BFB>F>S,K
play,2,1,happi001,21,BCBX,DGR/F7LD
play,2,1,schwf001,20,BBX,8/F8S
play,2,1,suzus001,32,BCCBBB,W
play,2,1,heywj001,22,BBFSX,16(1)/FO/G1S.2-3;B-1
play,2,1,wisdp001,01,F>X,7/F7
play,3,0,petej002,32,CBCFBBB,W
play,3,0,wongk001,12,C1FB1S,K
play,3,0,adamw002,12,1BS1CS,K
play,3,0,yelic001,00,>B,SB2
play,3,0,yelic001,11,>B.CX,43/G34+
play,3,1,hoern001,12,CSBFC,K
play,3,1,orter001,22,BSFBS,K
play,3,1,madrn001,02,CC*S,K.BX1(23)
play,4,0,mccua001,00,X,S9/L89S
play,4,0,tellr001,12,1SB1S*S,K
play,4,0,renfh001,22,1CBBSX,S7/G56.1-2
play,4,0,narvo001,02,CFH,HP.2-3;1-2
play,4,0,cainl001,22,SBSBX,31/G34.3-H;2-3;1-2
play,4,0,petej002,00,X,9/L1S
play,4,1,contw001,12,CBSS,K
play,4,1,happi001,22,BCSBX,53/G6M
play,4,1,schwf001,22,FSBFBFX,63/G6
play,5,0,wongk001,11,BCX,S9/L9
play,5,0,adamw002,00,1X,54(1)3/GDP/G56S
play,5,0,yelic001,31,BCBBB,W
play,5,0,mccua001,00,X,8/L8XD+
play,5,1,suzus001,01,CX,S7/L56D
play,5,1,heywj001,21,SB+1BX,S8/L8.1-3
play,5,1,wisdp001,00,X,8/SF/F8D.3-H
play,5,1,hoern001,11,1FBX,HR/L7D.1-H
play,5,1,orter001,31,BBCBX,9/F89
play,5,1,madrn001,31,BBBCB,W
play,5,1,contw001,00,X,4/P4D
play,6,0,tellr001,11,BFX,S8/L8
play,6,0,renfh001,12,CSBX,4/L4MD
play,6,0,narvo001,00,,NP
sub,norrd002,"Daniel Norris",1,0,1
play,6,0,narvo001,00,.,NP
sub,taylt002,"Tyrone Taylor",0,7,11
play,6,0,taylt002,11,..C*BX,64(1)3/GDP/G6
play,6,1,happi001,00,,NP
sub,carav001,"Victor Caratini",0,7,2
play,6,1,happi001,00,.,NP
sub,ashba003,"Aaron Ashby",0,0,1
play,6,1,happi001,22,..CFBBX,S7/G6+
play,6,1,schwf001,30,BBBX,64(1)3/GDP/G6
play,6,1,suzus001,32,CBFBBFFB,W
play,6,1,heywj001,02,CSX,S4/P34.1-3
play,6,1,wisdp001,22,BSCFBS,K
play,7,0,cainl001,32,BFBSFBX,D7/L8S+
play,7,0,petej002,00,,NP
sub,brosm001,"Mike Brosseau",0,9,11
play,7,0,brosm001,32,.B*BFSBB,W
play,7,0,wongk001,12,BSCFX,36(1)/FO/G3.2-3;B-1
play,7,0,adamw002,00,,NP
sub,martc007,"Chris Martin",1,0,1
play,7,0,adamw002,01,.CX,D7/G5.3-H;1-3
play,7,0,yelic001,01,CX,7/SF/F7LS.3-H
play,7,0,mccua001,32,FBBBFX,53/G56S
play,7,1,hoern001,00,,NP
sub,brosm001,"Mike Brosseau",0,9,5
play,7,1,hoern001,22,.BSBFFFX,43/G3
play,7,1,orter001,00,,NP
sub,frazc001,"Jackson Frazier",1,1,11
play,7,1,frazc001,20,.BBX,D7/L7L
play,7,1,madrn001,12,CBTFX,43/G4M.2-3
play,7,1,contw001,00,,NP
sub,cousj001,"Jake Cousins",0,0,1
play,7,1,contw001,21,.BBCH,HP
play,7,1,happi001,32,BCBBC>X,D8/F8XD+.3-H;1-H
play,7,1,schwf001,21,BBCX,9/F89
play,8,0,tellr001,00,.,NP
sub,wickr001,"Rowan Wick",1,0,1
play,8,0,tellr001,11,..BCX,S7/L78S
play,8,0,renfh001,22,CBFFF*BX,8/F89D
play,8,0,carav001,11,BCX,D7/L78+.1-3
play,8,0,cainl001,22,FFBF*BX,7/SF/F78D.3-H
play,8,0,brosm001,00,,NP
sub,givem001,"Mychal Givens",1,0,1
play,8,0,brosm001,32,.BBCCBS,K
play,8,1,suzus001,02,CCC,K
play,8,1,heywj001,21,BBSX,63/G6M
play,8,1,wisdp001,22,CFBFBS,K
play,9,0,wongk001,00,,NP
sub,robed002,"David Robertson",1,0,1
play,9,0,wongk001,12,.CCBX,8/F78D
play,9,0,adamw002,10,BX,S9/G34
play,9,0,yelic001,22,CBSFBS,K
play,9,0,mccua001,01,CX,43/G6+
data,er,burnc002,3
data,er,ashba003,1
data,er,cousj001,1
data,er,norrd002,2
data,er,wickr001,1
data,er,givem001,0
data,er,hendk001,1
data,er,robed002,0
data,er,martc007,0
id,CHN202204180
version,2
info,visteam,TBA
info,hometeam,CHN
info,site,CHI11
info,date,2022/04/18
info,number,0
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,ticht901
info,ump1b,muchm901
info,ump2b,libkj901
info,ump3b,reynj901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:15
info,howscored,unknown
info,pitches,pitches
info,oscorer,speaa701
info,temp,40
info,winddir,ltor
info,windspeed,16
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,163
info,attendance,26615
info,wp,thomk002
info,lp,adamj002
info,save,robed002
start,loweb001,"Brandon Lowe",0,1,4
start,lowej002,"Josh Lowe",0,2,10
start,arozr001,"Randy Arozarena",0,3,7
start,choij001,"Ji-Man Choi",0,4,3
start,diazy001,"Yandy Diaz",0,5,5
start,kierk001,"Kevin Kiermaier",0,6,8
start,zunim001,"Mike Zunino",0,7,2
start,philb002,"Brett Phillips",0,8,9
start,wallt003,"Taylor Walls",0,9,6
start,mccls003,"Shane McClanahan",0,0,1
start,madrn001,"Nick Madrigal",1,1,4
start,contw001,"Willson Contreras",1,2,2
start,schwf001,"Frank Schwindel",1,3,3
start,suzus001,"Seiya Suzuki",1,4,9
start,gomey001,"Yan Gomes",1,5,10
start,wisdp001,"Patrick Wisdom",1,6,5
start,hermm001,"Michael Hermosillo",1,7,8
start,happi001,"Ian Happ",1,8,7
start,hoern001,"Nico Hoerner",1,9,6
start,hendk001,"Kyle Hendricks",1,0,1
play,1,0,loweb001,32,FBBSBB,W
play,1,0,lowej002,12,L1BS+1FC,K
play,1,0,arozr001,32,B1BFBC1X,4/P34
play,1,0,choij001,22,BCBSC,K
play,1,1,madrn001,02,CCX,53/G56-
play,1,1,contw001,00,X,63/G6+
play,1,1,schwf001,12,CBSFS,K
play,2,0,diazy001,32,BBCFFBX,13/G1S
play,2,0,kierk001,12,CFBFS,K
play,2,0,zunim001,11,BSX,63/G6
play,2,1,suzus001,22,BBCFX,E6/TH/G56.B-1
play,2,1,gomey001,02,CCC,K
play,2,1,wisdp001,10,*BX,HR/F78XD.1-H(UR)
play,2,1,hermm001,02,SFS,K
play,2,1,happi001,12,SBSS,K
play,3,0,philb002,02,CSS,K
play,3,0,wallt003,21,CBBX,3/G23
play,3,0,loweb001,11,CBX,43/G4
play,3,1,hoern001,12,FFBS,K
play,3,1,madrn001,22,CBFBFX,S8/G6M
play,3,1,contw001,22,BCCBB,WP.1-2
play,3,1,contw001,32,BCCBB.S,K
play,3,1,schwf001,11,BCX,63/G6
play,4,0,lowej002,11,BFX,S8/L78D
play,4,0,arozr001,10,B>B,SB2
play,4,0,arozr001,20,B>B.X,9/L9
play,4,0,choij001,32,BBCBFX,S9/L89S+.2-H
play,4,0,diazy001,00,X,S9/G34.1-2
play,4,0,kierk001,32,CBCFBBX,7/F78D.2-3
play,4,0,zunim001,12,SFB+1S,K
play,4,1,suzus001,22,BSBFX,S7/G6.BX2(74)
com,"$Cubs challenged (tag play), call on the field was upheld."
play,4,1,gomey001,02,FFS,K
play,4,1,wisdp001,12,SCBC,K
play,5,0,philb002,31,BBSBX,S8/L8+
play,5,0,wallt003,10,11B1>B,SB2
play,5,0,wallt003,30,11B1>B.B2B,W
play,5,0,loweb001,22,BSBSC,K
play,5,0,lowej002,22,FBSBX,S9/G34.2-H;1-3
play,5,0,arozr001,00,,NP
sub,thomk002,"Keegan Thompson",1,0,1
play,5,0,arozr001,00,.X,36(1)3/GDP/G3
play,5,1,hermm001,12,FCBF*S,K
play,5,1,happi001,01,FX,9/L9D
play,5,1,hoern001,02,CFX,63/G6
play,6,0,choij001,12,BCFS,K
play,6,0,diazy001,12,BSCX,S6/G56
play,6,0,kierk001,00,>S,CS2(26)
play,6,0,kierk001,02,>S.FFS,K
play,6,1,madrn001,31,BBBCX,S9/L89S
play,6,1,contw001,01,CX,46(1)3/GDP/G4
play,6,1,schwf001,32,BBBCFX,63/G6
play,7,0,zunim001,22,SSFFBBS,K
play,7,0,philb002,02,CSC,K
play,7,0,wallt003,31,BBSBB,W
play,7,0,loweb001,10,BX,5/P1S
play,7,1,suzus001,00,,NP
sub,adamj002,"Jason Adam",0,0,1
play,7,1,suzus001,32,.BBBSSH,HP
play,7,1,gomey001,00,,NP
sub,villj001,"Jonathan Villar",1,5,11
play,7,1,villj001,32,.BBSS1B>B,W.1-2
play,7,1,wisdp001,22,CSBBFS,K
play,7,1,hermm001,00,,NP
sub,heywj001,"Jason Heyward",1,7,11
play,7,1,heywj001,00,.,NP
sub,sprij001,"Jeffrey Springs",0,0,1
play,7,1,heywj001,00,..,NP
sub,frazc001,"Clint Frazier",1,7,11
play,7,1,frazc001,22,...BC*BSX,2/P2F/FL
play,7,1,happi001,12,SFFBX,S7/G56.2-H;1-2
play,7,1,hoern001,22,CBFBS,K
play,8,0,lowej002,00,.,NP
sub,orter001,"Rafael Ortega",1,7,8
play,8,0,lowej002,22,..BBCCS,K
play,8,0,arozr001,01,CX,53/G56S
play,8,0,choij001,10,BX,43/G4
play,8,1,madrn001,00,,NP
sub,guerj004,"Javy Guerra",0,0,1
play,8,1,madrn001,22,.CBFBX,53/G56
play,8,1,contw001,00,X,53/G56+
play,8,1,schwf001,00,X,HR/F9D
play,8,1,suzus001,32,BBBCFX,S9/G4+
play,8,1,villj001,22,FFB1*BC,K
play,9,0,diazy001,00,,NP
sub,robed002,"David Robertson",1,0,1
play,9,0,diazy001,22,.CBBSX,9/F89
play,9,0,kierk001,12,FCBC,K
play,9,0,zunim001,31,BBBCB,W
play,9,0,philb002,00,,NP
sub,margm001,"Manuel Margot",0,8,11
play,9,0,margm001,00,.X,53/G56
data,er,guerj004,1
data,er,mccls003,1
data,er,adamj002,1
data,er,sprij001,0
data,er,thomk002,0
data,er,hendk001,2
data,er,robed002,0
id,CHN202204230
version,2
info,visteam,PIT
info,hometeam,CHN
info,site,CHI11
info,date,2022/04/23
info,number,0
info,starttime,1:20PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,emmep901
info,ump1b,merzd901
info,ump2b,drecb901
info,ump3b,hobep901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:21
info,howscored,unknown
info,pitches,pitches
info,oscorer,speaa701
info,temp,73
info,winddir,tocf
info,windspeed,19
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,167
info,attendance,39917
info,wp,hendk001
info,lp,thomz001
info,save,
start,voged001,"Daniel Vogelbach",0,1,10
start,reynb001,"Bryan Reynolds",0,2,8
start,chavm001,"Michael Chavis",0,3,5
start,tsuty001,"Yoshi Tsutsugo",0,4,3
start,castd004,"Diego Castillo",0,5,9
start,gameb001,"Ben Gamel",0,6,7
start,newmk001,"Kevin Newman",0,7,6
start,tuckc001,"Cole Tucker",0,8,4
start,knapa001,"Andrew Knapp",0,9,2
start,thomz001,"Zach Thompson",0,0,1
start,orter001,"Rafael Ortega",1,1,10
start,suzus001,"Seiya Suzuki",1,2,9
start,contw001,"Willson Contreras",1,3,2
start,happi001,"Ian Happ",1,4,7
start,wisdp001,"Patrick Wisdom",1,5,5
start,villj001,"Jonathan Villar",1,6,4
start,heywj001,"Jason Heyward",1,7,8
start,rivaa001,"Alfonso Rivas",1,8,3
start,hoern001,"Nico Hoerner",1,9,6
start,hendk001,"Kyle Hendricks",1,0,1
play,1,0,voged001,11,FBX,13/G25
play,1,0,reynb001,00,X,8/L89D
play,1,0,chavm001,10,BX,7/L7
play,1,1,orter001,22,CBFBFC,K
play,1,1,suzus001,10,BX,S7/G56
play,1,1,contw001,11,BSX,S8/L8S+.1-3
play,1,1,happi001,01,CX,S7/G6.3-H;1-2
play,1,1,wisdp001,00,X,53/G5S-.2-3;1-2
play,1,1,villj001,31,BBBSB,W
play,1,1,heywj001,21,CBBX,4/P4
play,2,0,tsuty001,12,CFBX,43/G4
play,2,0,castd004,21,BBFX,63/G6+
play,2,0,gameb001,10,BX,63/G9S
play,2,1,rivaa001,11,SBX,8/L8D
play,2,1,hoern001,01,TX,S9/L89
play,2,1,orter001,22,SFBB1X,S8/L8D.1-3
play,2,1,suzus001,02,SSX,S9/G34.3-H;1-3
play,2,1,contw001,00,>C,SB2
play,2,1,contw001,01,>C.X,S8/G4.3-H;2-H
play,2,1,happi001,22,BBC1SX,FC6/G6.1-2(E6);B-1
play,2,1,wisdp001,32,FSB*BBFB,W.2-3;1-2
play,2,1,villj001,00,X,FC6/G4.3-H(UR);2-H(NR)(UR);1-3(E6);B-1
play,2,1,heywj001,00,>B,SB2
play,2,1,heywj001,20,>B.BX,4/P3
play,2,1,rivaa001,00,X,HR/F9D.3-H(UR);2-H(UR);B-H(UR)
play,2,1,hoern001,00,X,S7/G56
play,2,1,orter001,00,1X,65(1)/FO/G6M.B-1
play,3,0,newmk001,12,CCBX,63/G6
play,3,0,tuckc001,22,BCBCFX,8/L8D
play,3,0,knapa001,22,CBBSX,3/P34S
play,3,1,suzus001,00,,NP
sub,yajum001,"Miguel Yajure",0,0,1
play,3,1,suzus001,21,.BCBX,53/G5+
play,3,1,contw001,21,BBSX,53/G56
play,3,1,happi001,02,FSX,9/F9D
play,4,0,voged001,11,BCX,DGR/F7LD
play,4,0,reynb001,10,BX,8/F8XD.2-3
play,4,0,chavm001,01,FX,6/P6MS-
play,4,0,tsuty001,31,BBCBX,5/L6
play,4,1,wisdp001,31,BBBCB,W
play,4,1,villj001,12,SCBX,46(1)/FO/G34+.B-1
play,4,1,heywj001,00,H,HP.1-2
play,4,1,rivaa001,02,FCX,S7/G5.2-H;1-3
play,4,1,hoern001,02,CSX,13/G23-.3-H;1-2
play,4,1,orter001,11,FBX,43/G34D+
play,5,0,castd004,11,CBX,6/P78S
play,5,0,gameb001,20,BBX,6/L9S+
play,5,0,newmk001,01,CX,63/G6+
play,5,1,suzus001,12,CBFX,D9/F89XD+
play,5,1,contw001,01,FX,D9/L9L+.2-H
play,5,1,happi001,00,X,D7/G5.2-H
play,5,1,wisdp001,22,SFF*BBX,3/P3SF/FL
play,5,1,villj001,02,CFX,S7/F7.2-2
play,5,1,heywj001,00,X,D9/G3+.2-H;1-3
play,5,1,rivaa001,00,X,S8/L89D.3-H;2-3
play,5,1,hoern001,00,,NP
sub,fleta001,"Aaron Fletcher",0,0,1
play,5,1,hoern001,00,.X,S7/L78S.3-H;1-2
play,5,1,orter001,10,BX,7/F7L
play,5,1,suzus001,00,,NP
sub,hermm001,"Michael Hermosillo",1,2,11
play,5,1,hermm001,02,.CSX,53/G56
play,6,0,tuckc001,00,,NP
sub,hermm001,"Michael Hermosillo",1,2,9
play,6,0,tuckc001,22,.CFBBFX,S7/F7S
play,6,0,knapa001,20,BBX,35(1)/FO/G3.B-1
play,6,0,voged001,00,X,7/F78
play,6,0,reynb001,12,CBFS,K
play,6,1,contw001,00,,NP
sub,alfoa002,"Anthony Alford",0,2,8
play,6,1,contw001,32,.BBBCST,K
play,6,1,happi001,31,BBCBX,9/F89XD
play,6,1,wisdp001,02,SCS,K
play,7,0,chavm001,22,FTBBX,43/G4-
play,7,0,tsuty001,01,FX,8/L8XD
play,7,0,castd004,12,FBS*S,K
play,7,1,villj001,11,SBX,43/G4MS
play,7,1,heywj001,11,BCX,S4/G34+
play,7,1,rivaa001,11,BCX,13/G25-.1-2
play,7,1,hoern001,11,FBX,S67/L78S+.2-H
play,7,1,orter001,22,BBCSX,2/G2-
play,8,0,gameb001,00,,NP
sub,newcs001,"Sean Newcomb",1,0,1
play,8,0,gameb001,11,.BFX,8/F8
play,8,0,newmk001,22,BCBFX,63/G6+
play,8,0,tuckc001,22,BBCSFFS,K
play,8,1,hermm001,00,,NP
sub,marij002,"Jake Marisnick",0,1,8
play,8,1,hermm001,00,.,NP
sub,alfoa002,"Anthony Alford",0,2,9
play,8,1,hermm001,00,..,NP
sub,castd004,"Diego Castillo",0,5,1
play,8,1,hermm001,11,...BCX,S8/L8+
play,8,1,contw001,32,BCSBBB,W.1-2
badj,happi001,R
play,8,1,happi001,11,CBX,S6/G6.2-3;1-2
play,8,1,wisdp001,22,CCBBX,S7/G6.3-H;2-3;1-2
play,8,1,villj001,22,BSFBX,S9/G3.3-H;2-H;1-3
play,8,1,heywj001,10,BX,46(1)3/GDP/G34+.3-H(NR)
play,8,1,rivaa001,11,BFX,43/G34D+
play,9,0,knapa001,00,,NP
sub,effrs001,"Scott Effross",1,0,1
play,9,0,knapa001,11,.BFX,53/G6
play,9,0,marij002,02,FSFS,K
play,9,0,alfoa002,21,CBBX,S6/G6
play,9,0,chavm001,12,CBFS,K
data,er,castd004,4
data,er,fleta001,1
data,er,yajum001,7
data,er,thomz001,4
data,er,effrs001,0
data,er,newcs001,0
data,er,hendk001,0
id,CHN202205040
version,2
info,visteam,CHA
info,hometeam,CHN
info,site,CHI11
info,date,2022/05/04
info,number,0
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,valej901
info,ump1b,millb901
info,ump2b,eddid901
info,ump3b,ortir901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:34
info,howscored,unknown
info,pitches,pitches
info,oscorer,lissr701
info,temp,52
info,winddir,fromcf
info,windspeed,8
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,185
info,attendance,36755
info,wp,gioll001
info,lp,hendk001
info,save,hendl001
start,andet001,"Tim Anderson",0,1,6
start,engea001,"Adam Engel",0,2,9
start,abrej003,"Jose Abreu",0,3,10
start,robel002,"Luis Robert",0,4,8
start,grany001,"Yasmani Grandal",0,5,2
start,polla001,"AJ Pollock",0,6,7
start,sheeg001,"Gavin Sheets",0,7,3
start,garcl004,"Leury Garcia",0,8,4
start,harrj002,"Josh Harrison",0,9,5
start,gioll001,"Lucas Giolito",0,0,1
start,rivaa001,"Alfonso Rivas",1,1,3
start,suzus001,"Seiya Suzuki",1,2,9
start,happi001,"Ian Happ",1,3,7
start,contw001,"Willson Contreras",1,4,2
start,schwf001,"Frank Schwindel",1,5,10
start,hoern001,"Nico Hoerner",1,6,6
start,heywj001,"Jason Heyward",1,7,8
start,wisdp001,"Patrick Wisdom",1,8,5
start,madrn001,"Nick Madrigal",1,9,4
start,hendk001,"Kyle Hendricks",1,0,1
play,1,0,andet001,01,FX,9/F9LD
play,1,0,engea001,12,FBSX,53/G5D+
play,1,0,abrej003,01,CX,HR/F7D
play,1,0,robel002,20,BBX,8/L8D
play,1,1,rivaa001,12,FCBS,K
play,1,1,suzus001,10,BX,4/P4MD
play,1,1,happi001,12,BCSC,K
play,2,0,grany001,00,X,8/L8D
play,2,0,polla001,11,BCX,63/G6
play,2,0,sheeg001,12,CBTS,K
play,2,1,contw001,32,SBBBFC,K
play,2,1,schwf001,32,BSFFBBFB,W
play,2,1,hoern001,31,BC*B*BX,HR/F7D.1-H
play,2,1,heywj001,22,CBBCX,3/G3
play,2,1,wisdp001,32,BFCBBFX,HR/F7D
play,2,1,madrn001,02,CFC,K
play,3,0,garcl004,10,BX,HR/F89XD
play,3,0,harrj002,01,CX,8/F89D
play,3,0,andet001,11,BFX,3/L34
play,3,0,engea001,11,CBX,4/P4
